2022-03-16 10:02:49,712 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-03-16 10:02:50,297 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-16 10:02:53,958 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-16 10:03:26,387 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-03-16 10:03:26,395 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-03-16 10:03:26,397 | MainThread   | [WARNING ] | exit_handler        |: Task <Task pending name='Task-7' coro=<BLEAsyncDevice._disconnect() running at /Users/trueshot/Documents/git/fast-robots/lab6/robot_ctrl_python/base_ble.py:105>> got Future <Future pending> attached to a different loop
2022-03-16 10:03:30,955 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=9, releaselevel='final', serial=0)
2022-03-16 10:03:30,955 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-03-16 10:03:31,530 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-16 10:03:34,566 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-16 10:03:42,666 | MainThread   | [INFO    ] | <module>            |: IMU Reading: 0.261,0.347,0.865,0.2,0.3,0.2,1.757,1.619,1.608,0.26
2022-03-16 10:03:45,771 | MainThread   | [INFO    ] | <module>            |: IMU Reading: 0.264,0.345,0.858,0.0,0.4,0.2,1.758,1.618,1.608,0.26
2022-03-16 10:09:40,443 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-16 10:24:06,328 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-16 10:24:09,087 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-16 10:24:13,030 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-03-16 10:24:13,041 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-03-16 10:24:13,044 | MainThread   | [WARNING ] | exit_handler        |: Task <Task pending name='Task-45' coro=<BLEAsyncDevice._disconnect() running at /Users/trueshot/Documents/git/fast-robots/lab6/robot_ctrl_python/base_ble.py:105>> got Future <Future pending> attached to a different loop
2022-03-16 10:24:16,968 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=9, releaselevel='final', serial=0)
2022-03-16 10:24:16,968 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-03-16 10:24:17,733 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-16 10:24:20,428 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-16 10:24:55,393 | MainThread   | [INFO    ] | <module>            |: IMU Reading: 0.244,0.348,0.858,0.1,0.0,0.2,1.741,1.579,1.658,0.27
2022-03-16 10:24:56,518 | MainThread   | [INFO    ] | <module>            |: IMU Reading: 0.162,0.372,0.863,0.1,0.1,0.0,1.757,1.645,1.656,0.27
2022-03-16 10:28:23,810 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-16 10:32:14,403 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-03-16 10:32:14,405 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
