2022-05-18 16:09:47,216 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 16:09:47,216 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 16:09:47,216 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 16:09:47,216 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 16:10:34,545 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 16:11:04,435 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 16:17:53,735 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:17:53,740 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-05-18 16:17:53,775 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:18:01,140 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-05-18 16:18:01,143 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 16:18:01,143 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 16:18:01,144 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 16:18:01,145 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 16:18:01,145 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 16:18:01,145 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 16:18:21,820 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 16:19:25,545 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:19:25,551 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-05-18 16:19:25,598 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:19:34,783 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
