2022-05-15 16:36:06,496 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-05-15 16:36:11,968 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-15 16:36:16,396 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-05-15 16:37:50,447 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2022-05-15 16:38:02,288 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-05-15 16:38:05,135 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-15 16:38:11,313 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-05-15 16:38:50,975 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-05-15 16:39:00,552 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-15 16:39:06,963 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-05-15 16:39:51,536 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-05-15 16:39:54,309 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-15 16:39:59,897 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-05-15 16:41:09,155 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-05-15 18:41:09,738 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-15 18:41:09,739 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-05-15 18:41:09,740 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-15 18:41:13,561 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-05-15 18:43:28,632 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-15 18:43:28,633 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-05-15 18:43:28,634 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-15 18:43:41,498 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-15 18:43:48,839 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-05-15 18:45:02,401 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-15 18:45:02,412 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-05-15 18:45:02,413 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2022-05-15 18:45:14,423 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-15 18:45:14,441 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
